#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
			ουδέτερο, ενικός, αιτιατική
εκπληκτική	εκπληκτικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
ανασήκωμα	ανασήκωμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
στ’			
έκαναν			
πέρασμα	πέρασμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
μανιασμένα	μανιασμένος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
στενόμακρη	στενόμακρος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
μουγκρίζει	μουγκρίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ρίξει			
οποιαδήποτε			
τρέξανε	τρέχω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
τρίτο	τρίτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
κοσμάκη	κοσμάκης	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
δείξω	δείχνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
είδηση	είδηση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πυκνές	πυκνός	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
τρίτη	τρίτος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
	τρίτη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πώς			
βράχους	βράχος	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
αμαλασούνθα			
κοίταξε	κοιτάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
	κοιτώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
κλείσει			
άπειρες	άπειρος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
φυσικό	φυσικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	φυσικός	ουσιαστικό	αρσενικό, ενικός, αιτιατική
	φυσικός	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, αιτιατική
κοίταξα	κοιτάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 1ο πρόσωπο
	κοιτώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 1ο πρόσωπο
δείξε	δείχνω	ρήμα	ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
	δείξος	ουσιαστικό	αρσενικό, ενικός, κλητική
υπήρχαν			
περνούσαν	περνώ	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
μαρκάρουν	μαρκάρω	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
βρούνε			
ρυθμού	ρυθμός	ουσιαστικό	αρσενικό, ενικός, γενική
παραμύθι	παραμύθι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
απόμεινε			
καθίσαν			
εκπρόσωπος	εκπρόσωπος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
	εκπρόσωπος	ουσιαστικό	θηλυκό, ενικός, ονομαστική
χαζούλα			
γίνουμε			
ευγενικά	ευγενικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	ευγενικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ξεφυλλίζει	ξεφυλλίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
φυσικά	φυσικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ευγενική	ευγενικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
δυνάμεις	δυνάμεις	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
κανέναν			
φωνούλα			
ξανάπεσε			
ξέρεις			
εντάξει	εντάξει	επίρρημα	
κανένας			
ήρωα	ήρωας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
πρέπει	πρέπει	 ρήμα	 απρόσωπο, ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
κουμπελίδικη			
ξέγνοιαστος	ξέγνοιαστος	επίθετο	αρσενικό, ενικός, ονομαστική
μελανιασμένος			
μοναδική	μοναδικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
έντονα	έντονος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
παρατηρούσε	παρατηρώ	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
λεγε			
σκέπαζε	σκεπάζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
προκοπή	προκοπή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
νέα	νέος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	νέο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καθίσει			
φαίνεσαι			
εξπέρ	εξπέρ	επίθετο	άκλιτο
συγγνώμη			
φτωχούς	φτωχός	επίθετο	αρσενικό, πληθυντικός, αιτιατική
	φτωχός	επίθετο	αρσενικό, πληθυντικός, αιτιατική
βασιλικής	βασιλικός	επίθετο	θηλυκό, ενικός, γενική
	βασιλική	ουσιαστικό	θηλυκό, ενικός, γενική
έπεσαν			
θεματολογία	θεματολογία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
